[22/10/2017 0:29:7] /a 3
[22/10/2017 0:29:7] /a 3
[22/10/2017 0:29:7] /a 3
[22/10/2017 0:29:7] /a 3
[22/10/2017 0:29:7] /a 3
[22/10/2017 0:29:7] /a 3
[22/10/2017 0:29:7] /a 3
[22/10/2017 0:29:7] /a 3
[22/10/2017 0:29:7] /a 3
[22/10/2017 0:29:7] /a 3
[22/10/2017 0:29:7] /a 3
[22/10/2017 0:29:7] /a 3
[22/10/2017 0:29:7] /a 3
[22/10/2017 0:29:7] /a 3
[22/10/2017 0:29:7] /a 3
[22/10/2017 0:29:7] /a 3
[22/10/2017 0:29:7] /a 3
[22/10/2017 0:29:8] /a 3
[22/10/2017 0:29:8] /a 3
[22/10/2017 0:29:8] /a 3
[22/10/2017 0:29:8] /a 3
[22/10/2017 0:29:8] /a 3
[22/10/2017 0:29:8] /a 3
[22/10/2017 0:29:8] /a 3
[22/10/2017 0:29:9] /a 3
[22/10/2017 0:29:9] /a 3
[22/10/2017 0:29:9] /a 3
[22/10/2017 0:29:10] /a 3
[22/10/2017 0:29:10] /a 3
[22/10/2017 0:29:10] /a 3
[22/10/2017 0:29:10] /a 3
[22/10/2017 0:29:10] /a 3
[22/10/2017 0:29:10] /a 3
[22/10/2017 0:29:11] /a 3
[22/10/2017 0:29:12] /a 3
[22/10/2017 0:29:12] /a 3
[22/10/2017 0:30:23] /a 3
[22/10/2017 0:30:23] /a 3
[22/10/2017 0:30:23] /a 3
[22/10/2017 0:30:23] /a 3
[22/10/2017 0:30:24] /a 3
[22/10/2017 0:30:24] /a 3
[22/10/2017 0:30:24] /a 3
[22/10/2017 0:30:24] /a 3
[22/10/2017 0:30:24] /a 3
[22/10/2017 0:30:24] /a 3
[22/10/2017 0:30:24] /a 3
[22/10/2017 0:30:24] /a 3
[22/10/2017 0:30:25] /a 3
[22/10/2017 0:30:25] /a 3
[22/10/2017 0:30:25] /a 3
[22/10/2017 0:30:25] /a 3
[22/10/2017 0:30:25] /a 3
[22/10/2017 0:30:25] /a 3
[22/10/2017 0:30:25] /a 3
[22/10/2017 0:30:25] /a 3
[22/10/2017 0:30:25] /a 3
[22/10/2017 0:30:25] /a 3
[22/10/2017 0:30:25] /a 3
[22/10/2017 0:30:25] /a 3
[22/10/2017 0:30:25] /a 3
[22/10/2017 0:30:25] /a 3
[22/10/2017 0:30:25] /a 3
[22/10/2017 0:30:25] /a 3
[22/10/2017 0:30:27] /up
[22/10/2017 0:30:27] /up
[22/10/2017 0:30:27] /up
[22/10/2017 0:30:28] /up
[22/10/2017 0:30:28] /a 3
[22/10/2017 0:30:32] /down
[22/10/2017 0:30:33] /down
[22/10/2017 0:30:36] /up
[22/10/2017 0:30:37] /a 3
[22/10/2017 0:30:38] /up
[22/10/2017 0:30:38] /up
[22/10/2017 0:30:39] /up
[22/10/2017 0:30:40] /a 3
[22/10/2017 0:30:40] /up
[22/10/2017 0:30:45] /up
[22/10/2017 0:30:47] /up
[22/10/2017 0:30:49] /a 3
[22/10/2017 0:30:50] /a 3
[22/10/2017 0:30:50] /m dragon
[22/10/2017 0:30:51] /up
[22/10/2017 0:30:54] /up
[22/10/2017 0:30:58] /a 1
[22/10/2017 0:31:0] /a 3
[22/10/2017 0:31:1] /up
[22/10/2017 0:31:7] /a 3
[22/10/2017 0:31:13] /a 3
[22/10/2017 0:31:14] /up
[22/10/2017 0:31:31] /up
[22/10/2017 0:31:33] /a 3
[22/10/2017 0:31:34] /up
[22/10/2017 0:31:48] /a 3
[22/10/2017 0:31:48] /up
[22/10/2017 0:31:49] /a 3
[22/10/2017 0:31:51] /a 3
[22/10/2017 0:31:51] /a 3
[22/10/2017 0:31:51] /a 3
[22/10/2017 0:31:52] /a 3
[22/10/2017 0:31:53] /a 3
[22/10/2017 0:31:54] /a 3
[22/10/2017 0:31:54] /a 3
[22/10/2017 0:31:54] /a 3
[22/10/2017 0:31:56] /a 3
[22/10/2017 0:31:56] /a 3
[22/10/2017 0:31:56] /a 3
[22/10/2017 0:31:56] /a 3
[22/10/2017 0:33:19] /a 3
[22/10/2017 0:33:19] /a 3
[22/10/2017 0:33:20] /a 3
[22/10/2017 0:33:20] /a 3
